participant,filename,video_path,raw_gloss,gloss,source,split,class_idx
P48,17042711191313709-1 DOLLAR.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\17042711191313709-1 DOLLAR.mp4,1DOLLAR,1DOLLAR,asl_citizen,train,0
P21,686738356933241-1 DOLLAR.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\686738356933241-1 DOLLAR.mp4,1DOLLAR,1DOLLAR,asl_citizen,train,0
P47,0990039985239719-1 DOLLAR.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\0990039985239719-1 DOLLAR.mp4,1DOLLAR,1DOLLAR,asl_citizen,train,0
P26,22595012150860327-1 DOLLAR.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\22595012150860327-1 DOLLAR.mp4,1DOLLAR,1DOLLAR,asl_citizen,train,0
P27,8035791359079079-1 DOLLAR.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\8035791359079079-1 DOLLAR.mp4,1DOLLAR,1DOLLAR,asl_citizen,train,0
P31,3827306090663467-1 DOLLAR.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\3827306090663467-1 DOLLAR.mp4,1DOLLAR,1DOLLAR,asl_citizen,train,0
P22,86640342214128-1 DOLLAR.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\86640342214128-1 DOLLAR.mp4,1DOLLAR,1DOLLAR,asl_citizen,train,0
P47,4334640293313594-1 DOLLAR.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\4334640293313594-1 DOLLAR.mp4,1DOLLAR,1DOLLAR,asl_citizen,train,0
P11,6868778695018762-1 DOLLAR.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\6868778695018762-1 DOLLAR.mp4,1DOLLAR,1DOLLAR,asl_citizen,train,0
P40,988214791187408-1 DOLLAR.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\988214791187408-1 DOLLAR.mp4,1DOLLAR,1DOLLAR,asl_citizen,train,0
P16,39377409183454937-1 DOLLAR.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\39377409183454937-1 DOLLAR.mp4,1DOLLAR,1DOLLAR,asl_citizen,train,0
P39,7421622940519235-1 DOLLAR.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\7421622940519235-1 DOLLAR.mp4,1DOLLAR,1DOLLAR,asl_citizen,train,0
